"Ticker","TimeFrame","Today's Price","Previous High Date","Previous High Price","Breakout date","Time since Breakout","Percentage Above Retest level"
"ARE&M","Weekly","976.45","2024-02-05","915.55","2024-04-15","66 Weeks","6.651742"
"KRBL","Weekly","406.8","2024-01-08","386.2","2025-06-30","3 Weeks","5.3340173"
"HEXATRADEX","Weekly","184.69","2024-01-15","170.9","2024-06-24","56 Weeks","8.069052"
"HIKAL","Weekly","343.25","2023-12-25","318.35","2024-07-01","55 Weeks","7.821578"
"APOLLO","Weekly","177.1","2023-11-20","161.7","2025-05-26","8 Weeks","9.523816"
"NAVINFLUOR","Weekly","4869.3","2023-09-04","4724.25","2025-06-23","4 Weeks","3.0703244"
"PDSL","Weekly","387.9","2023-07-24","363.15","2023-09-04","98 Weeks","6.815366"
"SEAMECLTD","Weekly","853.05","2023-07-03","793.3","2023-11-06","89 Weeks","7.5318294"
"KOTAKBANK","Weekly","2140.5","2023-07-17","1987.75","2025-03-17","18 Weeks","7.6845684"
"PAISALO","Weekly","31.16","2023-05-29","29.5","2023-07-31","103 Weeks","5.627118"
"ITC","Weekly","422.75","2023-02-20","394.0","2023-04-10","119 Weeks","7.296954"
"CUB","Weekly","212.49","2022-12-12","205.0","2025-06-23","4 Weeks","3.6536613"
"VIDHIING","Weekly","407.35","2022-11-07","404.45","2023-08-21","100 Weeks","0.7170216"
"THEMISMED","Weekly","125.79","2022-09-19","114.995","2022-12-12","136 Weeks","9.3873625"
"SASKEN","Weekly","1477.2","2021-12-27","1377.0","2023-12-25","82 Weeks","7.2766848"
"PRIVISCL","Weekly","2450.2","2022-01-17","2249.0","2025-05-12","10 Weeks","8.946196"
"PGHH","Weekly","13308.0","2020-01-27","12388.8","2021-02-08","232 Weeks","7.419606"
"BATAINDIA","Weekly","1219.5","2018-08-27","1115.7","2018-12-17","344 Weeks","9.303581"
"NITCO","Weekly","142.66","2018-02-12","142.6","2025-06-30","3 Weeks","0.04207402"
"CARERATING","Weekly","1776.3","2017-07-10","1725.0","2025-05-26","8 Weeks","2.9739158"
"LUPIN","Weekly","1932.2","2016-03-14","1874.6","2024-07-29","51 Weeks","3.0726542"
"RPOWER","Weekly","64.02","2016-01-11","61.25","2025-06-02","7 Weeks","4.522444"
